# AudioName,ClassID,Class,Base,Duration,FrameRate,Channels,Bits/A
108423.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106307.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106306.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107204.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108426.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106810.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107616.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107618.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106117.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106008.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106103.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108515.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108513.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
101106.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
100806.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106105.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
103602.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
101105.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108517.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106309.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107620.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108424.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
104009.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107501.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106807.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
105417.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
100702.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
100805.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107217.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108422.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106007.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
105407.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108425.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
104011.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106310.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107007.wav,1,Chacha,Teste,35.030204081632654,44100,1,16
103601.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107206.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106005.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107502.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
100703.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107613.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108420.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
100701.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
101205.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
103604.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107221.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
101206.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106101.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
101208.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
101107.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
101207.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106308.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106809.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107005.wav,1,Chacha,Teste,35.030204081632654,44100,1,16
100704.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107503.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
105406.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106006.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107612.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107615.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
105405.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107622.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
106808.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
101108.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
100807.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107617.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
108511.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
107205.wav,1,Chacha,Teste,30.040816326530614,44100,1,16
