# AudioName,ClassID,Class,Base,Duration,FrameRate,Channels,Bits/A
100807_0005.wav,1,Chacha,Teste,5.0,44100,1,16
107006_0002.wav,1,Chacha,Teste,5.0,44100,1,16
101108_0003.wav,1,Chacha,Teste,5.0,44100,1,16
106005_0004.wav,1,Chacha,Teste,5.0,44100,1,16
107614_0003.wav,1,Chacha,Teste,5.0,44100,1,16
106811_0003.wav,1,Chacha,Teste,5.0,44100,1,16
107613_0004.wav,1,Chacha,Teste,5.0,44100,1,16
107611_0002.wav,1,Chacha,Teste,5.0,44100,1,16
107205_0003.wav,1,Chacha,Teste,5.0,44100,1,16
107618_0002.wav,1,Chacha,Teste,5.0,44100,1,16
106101_0003.wav,1,Chacha,Teste,5.0,44100,1,16
107620_0004.wav,1,Chacha,Teste,5.0,44100,1,16
106103_0003.wav,1,Chacha,Teste,5.0,44100,1,16
108424_0003.wav,1,Chacha,Teste,5.0,44100,1,16
106007_0002.wav,1,Chacha,Teste,5.0,44100,1,16
107621_0003.wav,1,Chacha,Teste,5.0,44100,1,16
108517_0001.wav,1,Chacha,Teste,5.0,44100,1,16
107612_0004.wav,1,Chacha,Teste,5.0,44100,1,16
106309_0005.wav,1,Chacha,Teste,5.0,44100,1,16
106810_0003.wav,1,Chacha,Teste,5.0,44100,1,16
100703_0005.wav,1,Chacha,Teste,5.0,44100,1,16
106307_0003.wav,1,Chacha,Teste,5.0,44100,1,16
108517_0005.wav,1,Chacha,Teste,5.0,44100,1,16
101105_0001.wav,1,Chacha,Teste,5.0,44100,1,16
105407_0005.wav,1,Chacha,Teste,5.0,44100,1,16
107616_0001.wav,1,Chacha,Teste,5.0,44100,1,16
107221_0003.wav,1,Chacha,Teste,5.0,44100,1,16
101107_0001.wav,1,Chacha,Teste,5.0,44100,1,16
106005_0001.wav,1,Chacha,Teste,5.0,44100,1,16
106807_0001.wav,1,Chacha,Teste,5.0,44100,1,16
100704_0005.wav,1,Chacha,Teste,5.0,44100,1,16
101107_0002.wav,1,Chacha,Teste,5.0,44100,1,16
101106_0003.wav,1,Chacha,Teste,5.0,44100,1,16
107006_0004.wav,1,Chacha,Teste,5.0,44100,1,16
107502_0002.wav,1,Chacha,Teste,5.0,44100,1,16
101106_0001.wav,1,Chacha,Teste,5.0,44100,1,16
104010_0002.wav,1,Chacha,Teste,5.0,44100,1,16
101107_0005.wav,1,Chacha,Teste,5.0,44100,1,16
101207_0004.wav,1,Chacha,Teste,5.0,44100,1,16
107008_0002.wav,1,Chacha,Teste,5.0,44100,1,16
104009_0004.wav,1,Chacha,Teste,5.0,44100,1,16
101206_0005.wav,1,Chacha,Teste,5.0,44100,1,16
107613_0002.wav,1,Chacha,Teste,5.0,44100,1,16
100807_0001.wav,1,Chacha,Teste,5.0,44100,1,16
